id,prov,ccaa,name
32001,ES-OR,ES-GA,Allariz
32002,ES-OR,ES-GA,Amoeiro
32003,ES-OR,ES-GA,A Arnoia
32004,ES-OR,ES-GA,Avión
32005,ES-OR,ES-GA,Baltar
32006,ES-OR,ES-GA,Bande
32007,ES-OR,ES-GA,Baños de Molgas
32008,ES-OR,ES-GA,Barbadás
32009,ES-OR,ES-GA,O Barco de Valdeorras
32010,ES-OR,ES-GA,Beade
32011,ES-OR,ES-GA,Beariz
32012,ES-OR,ES-GA,Os Blancos
32013,ES-OR,ES-GA,Boborás
32014,ES-OR,ES-GA,A Bola
32015,ES-OR,ES-GA,O Bolo
32016,ES-OR,ES-GA,Calvos de Randín
32017,ES-OR,ES-GA,Carballeda de Valdeorras
32018,ES-OR,ES-GA,Carballeda de Avia
32019,ES-OR,ES-GA,O Carballiño
32020,ES-OR,ES-GA,Cartelle
32021,ES-OR,ES-GA,Castrelo do Val
32022,ES-OR,ES-GA,Castrelo de Miño
32023,ES-OR,ES-GA,Castro Caldelas
32024,ES-OR,ES-GA,Celanova
32025,ES-OR,ES-GA,Cenlle
32026,ES-OR,ES-GA,Coles
32027,ES-OR,ES-GA,Cortegada
32028,ES-OR,ES-GA,Cualedro
32029,ES-OR,ES-GA,Chandrexa de Queixa
32030,ES-OR,ES-GA,Entrimo
32031,ES-OR,ES-GA,Esgos
32032,ES-OR,ES-GA,Xinzo de Limia
32033,ES-OR,ES-GA,Gomesende
32034,ES-OR,ES-GA,A Gudiña
32035,ES-OR,ES-GA,O Irixo
32036,ES-OR,ES-GA,Xunqueira de Ambía
32037,ES-OR,ES-GA,Xunqueira de Espadanedo
32038,ES-OR,ES-GA,Larouco
32039,ES-OR,ES-GA,Laza
32040,ES-OR,ES-GA,Leiro
32041,ES-OR,ES-GA,Lobeira
32042,ES-OR,ES-GA,Lobios
32043,ES-OR,ES-GA,Maceda
32044,ES-OR,ES-GA,Manzaneda
32045,ES-OR,ES-GA,Maside
32046,ES-OR,ES-GA,Melón
32047,ES-OR,ES-GA,A Merca
32048,ES-OR,ES-GA,A Mezquita
32049,ES-OR,ES-GA,Montederramo
32050,ES-OR,ES-GA,Monterrei
32051,ES-OR,ES-GA,Muíños
32052,ES-OR,ES-GA,Nogueira de Ramuín
32053,ES-OR,ES-GA,Oímbra
32054,ES-OR,ES-GA,Ourense
32055,ES-OR,ES-GA,Paderne de Allariz
32056,ES-OR,ES-GA,Padrenda
32057,ES-OR,ES-GA,Parada de Sil
32058,ES-OR,ES-GA,O Pereiro de Aguiar
32059,ES-OR,ES-GA,A Peroxa
32060,ES-OR,ES-GA,Petín
32061,ES-OR,ES-GA,Piñor
32062,ES-OR,ES-GA,Porqueira
32063,ES-OR,ES-GA,A Pobra de Trives
32064,ES-OR,ES-GA,Pontedeva
32065,ES-OR,ES-GA,Punxín
32066,ES-OR,ES-GA,Quintela de Leirado
32067,ES-OR,ES-GA,Rairiz de Veiga
32068,ES-OR,ES-GA,Ramirás
32069,ES-OR,ES-GA,Ribadavia
32070,ES-OR,ES-GA,San Xoán de Río
32071,ES-OR,ES-GA,Riós
32072,ES-OR,ES-GA,A Rúa
32073,ES-OR,ES-GA,Rubiá
32074,ES-OR,ES-GA,San Amaro
32075,ES-OR,ES-GA,San Cibrao das Viñas
32076,ES-OR,ES-GA,San Cristovo de Cea
32077,ES-OR,ES-GA,Sandiás
32078,ES-OR,ES-GA,Sarreaus
32079,ES-OR,ES-GA,Taboadela
32080,ES-OR,ES-GA,A Teixeira
32081,ES-OR,ES-GA,Toén
32082,ES-OR,ES-GA,Trasmiras
32083,ES-OR,ES-GA,A Veiga
32084,ES-OR,ES-GA,Verea
32085,ES-OR,ES-GA,Verín
32086,ES-OR,ES-GA,Viana do Bolo
32087,ES-OR,ES-GA,Vilamarín
32088,ES-OR,ES-GA,Vilamartín de Valdeorras
32089,ES-OR,ES-GA,Vilar de Barrio
32090,ES-OR,ES-GA,Vilar de Santos
32091,ES-OR,ES-GA,Vilardevós
32092,ES-OR,ES-GA,Vilariño de Conso
