id,prov,ccaa,name
41001,ES-SE,ES-AN,Aguadulce
41002,ES-SE,ES-AN,Alanís
41003,ES-SE,ES-AN,Albaida del Aljarafe
41004,ES-SE,ES-AN,Alcalá de Guadaíra
41005,ES-SE,ES-AN,Alcalá del Río
41006,ES-SE,ES-AN,Alcolea del Río
41007,ES-SE,ES-AN,La Algaba
41008,ES-SE,ES-AN,Algámitas
41009,ES-SE,ES-AN,Almadén de la Plata
41010,ES-SE,ES-AN,Almensilla
41011,ES-SE,ES-AN,Arahal
41012,ES-SE,ES-AN,Aznalcázar
41013,ES-SE,ES-AN,Aznalcóllar
41014,ES-SE,ES-AN,Badolatosa
41015,ES-SE,ES-AN,Benacazón
41016,ES-SE,ES-AN,Bollullos de la Mitación
41017,ES-SE,ES-AN,Bormujos
41018,ES-SE,ES-AN,Brenes
41019,ES-SE,ES-AN,Burguillos
41020,ES-SE,ES-AN,Las Cabezas de San Juan
41021,ES-SE,ES-AN,Camas
41022,ES-SE,ES-AN,La Campana
41023,ES-SE,ES-AN,Cantillana
41024,ES-SE,ES-AN,Carmona
41025,ES-SE,ES-AN,Carrión de los Céspedes
41026,ES-SE,ES-AN,Casariche
41027,ES-SE,ES-AN,Castilblanco de los Arroyos
41028,ES-SE,ES-AN,Castilleja de Guzmán
41029,ES-SE,ES-AN,Castilleja de la Cuesta
41030,ES-SE,ES-AN,Castilleja del Campo
41031,ES-SE,ES-AN,El Castillo de las Guardas
41032,ES-SE,ES-AN,Cazalla de la Sierra
41033,ES-SE,ES-AN,Constantina
41034,ES-SE,ES-AN,Coria del Río
41035,ES-SE,ES-AN,Coripe
41036,ES-SE,ES-AN,El Coronil
41037,ES-SE,ES-AN,Los Corrales
41038,ES-SE,ES-AN,Dos Hermanas
41039,ES-SE,ES-AN,Écija
41040,ES-SE,ES-AN,Espartinas
41041,ES-SE,ES-AN,Estepa
41042,ES-SE,ES-AN,Fuentes de Andalucía
41043,ES-SE,ES-AN,El Garrobo
41044,ES-SE,ES-AN,Gelves
41045,ES-SE,ES-AN,Gerena
41046,ES-SE,ES-AN,Gilena
41047,ES-SE,ES-AN,Gines
41048,ES-SE,ES-AN,Guadalcanal
41049,ES-SE,ES-AN,Guillena
41050,ES-SE,ES-AN,Herrera
41051,ES-SE,ES-AN,Huévar del Aljarafe
41052,ES-SE,ES-AN,La Lantejuela
41053,ES-SE,ES-AN,Lebrija
41054,ES-SE,ES-AN,Lora de Estepa
41055,ES-SE,ES-AN,Lora del Río
41056,ES-SE,ES-AN,La Luisiana
41057,ES-SE,ES-AN,El Madroño
41058,ES-SE,ES-AN,Mairena del Alcor
41059,ES-SE,ES-AN,Mairena del Aljarafe
41060,ES-SE,ES-AN,Marchena
41061,ES-SE,ES-AN,Marinaleda
41062,ES-SE,ES-AN,Martín de la Jara
41063,ES-SE,ES-AN,Los Molares
41064,ES-SE,ES-AN,Montellano
41065,ES-SE,ES-AN,Morón de la Frontera
41066,ES-SE,ES-AN,Las Navas de la Concepción
41067,ES-SE,ES-AN,Olivares
41068,ES-SE,ES-AN,Osuna
41069,ES-SE,ES-AN,Los Palacios y Villafranca
41070,ES-SE,ES-AN,Palomares del Río
41071,ES-SE,ES-AN,Paradas
41072,ES-SE,ES-AN,Pedrera
41073,ES-SE,ES-AN,El Pedroso
41074,ES-SE,ES-AN,Peñaflor
41075,ES-SE,ES-AN,Pilas
41076,ES-SE,ES-AN,Pruna
41077,ES-SE,ES-AN,La Puebla de Cazalla
41078,ES-SE,ES-AN,La Puebla de los Infantes
41079,ES-SE,ES-AN,La Puebla del Río
41080,ES-SE,ES-AN,El Real de la Jara
41081,ES-SE,ES-AN,La Rinconada
41082,ES-SE,ES-AN,La Roda de Andalucía
41083,ES-SE,ES-AN,El Ronquillo
41084,ES-SE,ES-AN,El Rubio
41085,ES-SE,ES-AN,Salteras
41086,ES-SE,ES-AN,San Juan de Aznalfarache
41087,ES-SE,ES-AN,Sanlúcar la Mayor
41088,ES-SE,ES-AN,San Nicolás del Puerto
41089,ES-SE,ES-AN,Santiponce
41090,ES-SE,ES-AN,El Saucejo
41091,ES-SE,ES-AN,Sevilla
41092,ES-SE,ES-AN,Tocina
41093,ES-SE,ES-AN,Tomares
41094,ES-SE,ES-AN,Umbrete
41095,ES-SE,ES-AN,Utrera
41096,ES-SE,ES-AN,Valencina de la Concepción
41097,ES-SE,ES-AN,Villamanrique de la Condesa
41098,ES-SE,ES-AN,Villanueva del Ariscal
41099,ES-SE,ES-AN,Villanueva del Río y Minas
41100,ES-SE,ES-AN,Villanueva de San Juan
41101,ES-SE,ES-AN,Villaverde del Río
41102,ES-SE,ES-AN,El Viso del Alcor
41901,ES-SE,ES-AN,Cañada Rosal
41902,ES-SE,ES-AN,Isla Mayor
41903,ES-SE,ES-AN,El Cuervo de Sevilla
41904,ES-SE,ES-AN,El Palmar de Troya
