id,name,date,incomplete,total,percentage
39001,Alfoz de Lloredo,2021-01-31,39,710,0.95
39002,Ampuero,2021-01-31,59,236,0.75
39003,Anievas,2021-01-31,0,163,1.00
39004,Arenas de Iguña,2021-01-31,45,864,0.95
39005,Argoños,2021-01-31,69,280,0.75
39006,Arnuero,2021-01-31,58,770,0.92
39007,Arredondo,2021-01-31,36,230,0.84
39008,El Astillero,2021-01-31,152,862,0.82
39009,Bárcena de Cicero,2021-01-31,0,736,1.00
39010,Bárcena de Pie de Concha,2021-01-31,43,167,0.74
39011,Bareyo,2021-01-31,30,605,0.95
39012,Cabezón de la Sal,2021-01-31,296,984,0.70
39013,Cabezón de Liébana,2021-01-31,62,316,0.80
39014,Cabuérniga,2021-01-31,88,414,0.79
39015,Camaleño,2021-01-31,156,1166,0.87
39016,Camargo,2021-01-31,447,2144,0.79
39017,Campoo de Yuso,2021-01-31,80,552,0.86
39018,Cartes,2021-01-31,134,459,0.71
39019,Castañeda,2021-01-31,60,406,0.85
39020,Castro-Urdiales,2021-01-31,223,3319,0.93
39021,Cieza,2021-01-31,33,180,0.82
39022,Cillorigo de Liébana,2021-01-31,82,588,0.86
39023,Colindres,2021-01-31,33,346,0.90
39024,Comillas,2021-01-31,119,659,0.82
39025,Los Corrales de Buelna,2021-01-31,0,3800,1.00
39026,Corvera de Toranzo,2021-01-31,131,392,0.67
39027,Campoo de Enmedio,2021-01-31,105,986,0.89
39028,Entrambasaguas,2021-01-31,0,1068,1.00
39029,Escalante,2021-01-31,0,244,1.00
39030,Guriezo,2021-01-31,0,526,1.00
39031,Hazas de Cesto,2021-01-31,0,374,1.00
39032,Hermandad de Campoo de Suso,2021-01-31,104,1146,0.91
39033,Herrerías,2021-01-31,66,455,0.85
39034,Lamasón,2021-01-31,38,188,0.80
39035,Laredo,2021-01-31,139,1068,0.87
39036,Liendo,2021-01-31,65,279,0.77
39037,Liérganes,2021-01-31,12,618,0.98
39038,Limpias,2021-01-31,22,116,0.81
39039,Luena,2021-01-31,40,398,0.90
39040,Marina de Cudeyo,2021-01-31,0,1002,1.00
39041,Mazcuerras,2021-01-31,170,442,0.62
39042,Medio Cudeyo,2021-01-31,28,1394,0.98
39043,Meruelo,2021-01-31,0,288,1.00
39044,Miengo,2021-01-31,58,804,0.93
39045,Miera,2021-01-31,6,222,0.97
39046,Molledo,2021-01-31,114,528,0.78
39047,Noja,2021-01-31,0,938,1.00
39048,Penagos,2021-01-31,45,801,0.94
39049,Peñarrubia,2021-01-31,61,226,0.73
39050,Pesaguero,2021-01-31,66,189,0.65
39051,Pesquera,2021-01-31,0,102,1.00
39052,Piélagos,2021-01-31,0,2591,1.00
39053,Polaciones,2021-01-31,45,252,0.82
39054,Polanco,2021-01-31,114,534,0.79
39055,Potes,2021-01-31,11,331,0.97
39056,Puente Viesgo,2021-01-31,14,799,0.98
39057,Ramales de la Victoria,2021-01-31,70,880,0.92
39058,Rasines,2021-01-31,10,261,0.96
39059,Reinosa,2021-01-31,84,626,0.87
39060,Reocín,2021-01-31,230,858,0.73
39061,Ribamontán al Mar,2021-01-31,0,1185,1.00
39062,Ribamontán al Monte,2021-01-31,18,580,0.97
39063,Rionansa,2021-01-31,46,610,0.92
39064,Riotuerto,2021-01-31,23,722,0.97
39065,Las Rozas de Valdearroyo,2021-01-31,11,362,0.97
39066,Ruente,2021-01-31,79,494,0.84
39067,Ruesga,2021-01-31,38,399,0.90
39068,Ruiloba,2021-01-31,76,339,0.78
39069,San Felices de Buelna,2021-01-31,136,624,0.78
39070,San Miguel de Aguayo,2021-01-31,4,141,0.97
39071,San Pedro del Romeral,2021-01-31,0,183,1.00
39072,San Roque de Riomiera,2021-01-31,0,209,1.00
39073,Santa Cruz de Bezana,2021-01-31,235,1001,0.77
39074,Santa María de Cayón,2021-01-31,6,2156,1.00
39075,Santander,2021-01-31,165,12601,0.99
39076,Santillana del Mar,2021-01-31,165,871,0.81
39077,Santiurde de Reinosa,2021-01-31,24,231,0.90
39078,Santiurde de Toranzo,2021-01-31,85,327,0.74
39079,Santoña,2021-01-31,0,515,1.00
39080,San Vicente de la Barquera,2021-01-31,21,880,0.98
39081,Saro,2021-01-31,0,146,1.00
39082,Selaya,2021-01-31,7,314,0.98
39083,Soba,2021-01-31,22,1204,0.98
39084,Solórzano,2021-01-31,4,289,0.99
39085,Suances,2021-01-31,120,979,0.88
39086,Los Tojos,2021-01-31,42,215,0.80
39087,Torrelavega,2021-01-31,1,5027,1.00
39088,Tresviso,2021-01-31,0,60,1.00
39089,Tudanca,2021-01-31,52,144,0.64
39090,Udías,2021-01-31,17,164,0.90
39091,Valdáliga,2021-01-31,184,1117,0.84
39092,Valdeolea,2021-01-31,46,598,0.92
39093,Valdeprado del Río,2021-01-31,51,427,0.88
39094,Valderredible,2021-01-31,0,1511,1.00
39095,Val de San Vicente,2021-01-31,125,975,0.87
39096,Vega de Liébana,2021-01-31,46,703,0.93
39097,Vega de Pas,2021-01-31,0,569,1.00
39098,Villacarriedo,2021-01-31,0,372,1.00
39099,Villaescusa,2021-01-31,145,816,0.82
39100,Villafufre,2021-01-31,36,208,0.83
39101,Valle de Villaverde,2021-01-31,23,128,0.82
39102,Voto,2021-01-31,62,462,0.87
,Campoo-Cabuérniga,2021-01-31,0,88,1.00
